algorithm,n,time,comparisons
insertionMergeSort,40805,0.15098905563354492,"602472
"
insertionMergeSort,40805,0.14847397804260254,"601941
"
insertionMergeSort,40805,0.14934396743774414,"601983
"
insertionMergeSort,40805,0.14072394371032715,"601991
"
insertionMergeSort,57536,0.168198823928833,"855932
"
insertionMergeSort,57536,0.1719508171081543,"856034
"
insertionMergeSort,57536,0.17105507850646973,"855390
"
insertionMergeSort,57536,0.1703500747680664,"856163
"
insertionMergeSort,57536,0.1760878562927246,"855854
"
insertionMergeSort,81126,0.19084501266479492,"1277470
"
insertionMergeSort,81126,0.19619107246398926,"1277410
"
insertionMergeSort,81126,0.18629980087280273,"1276715
"
insertionMergeSort,81126,0.18524718284606934,"1278053
"
insertionMergeSort,81126,0.18250107765197754,"1277922
"
insertionMergeSort,114387,0.2192220687866211,"1814131
"
insertionMergeSort,114387,0.23000812530517578,"1814171
"
insertionMergeSort,114387,0.21854281425476074,"1815151
"
insertionMergeSort,114387,0.21409320831298828,"1814345
"
insertionMergeSort,114387,0.2177133560180664,"1814971
"
insertionMergeSort,161286,0.2532367706298828,"2698405
"
insertionMergeSort,161286,0.274860143661499,"2696827
"
insertionMergeSort,161286,0.251054048538208,"2697400
"
insertionMergeSort,161286,0.2326490879058838,"2698027
"
insertionMergeSort,161286,0.24665594100952148,"2699103
"
insertionMergeSort,227414,0.3434138298034668,"3832678
"
insertionMergeSort,227414,0.35564208030700684,"3831477
"
insertionMergeSort,227414,0.3498411178588867,"3830834
"
insertionMergeSort,227414,0.349672794342041,"3832151
"
insertionMergeSort,227414,0.36185216903686523,"3832393
"
insertionMergeSort,320654,0.5125460624694824,"5680497
"
insertionMergeSort,320654,0.4618339538574219,"5679985
"
insertionMergeSort,320654,0.42927980422973633,"5678476
"
insertionMergeSort,320654,0.4114701747894287,"5680453
"
insertionMergeSort,320654,0.43267202377319336,"5680733
"
insertionMergeSort,452122,0.46543407440185547,"8064138
"
insertionMergeSort,452122,0.45444774627685547,"8065635
"
insertionMergeSort,452122,0.489001989364624,"8064782
"
insertionMergeSort,452122,0.4888272285461426,"8065130
"
insertionMergeSort,452122,0.6062779426574707,"8065450
"
insertionMergeSort,637493,0.7197940349578857,"11920348
"
insertionMergeSort,637493,0.5914959907531738,"11919156
"
insertionMergeSort,637493,0.6091361045837402,"11919792
"
insertionMergeSort,637493,0.7263288497924805,"11919999
"
insertionMergeSort,637493,0.6615099906921387,"11919565
"
recursiveMergeSort,30,0.0699000358581543,"112
"
recursiveMergeSort,30,0.0697629451751709,"107
"
recursiveMergeSort,30,0.0699758529663086,"114
"
recursiveMergeSort,30,0.07040572166442871,"105
"
recursiveMergeSort,30,0.07034015655517578,"113
"
recursiveMergeSort,42,0.07041621208190918,"167
"
recursiveMergeSort,42,0.07269716262817383,"178
"
recursiveMergeSort,42,0.08188915252685547,"178
"
recursiveMergeSort,42,0.07828617095947266,"178
"
recursiveMergeSort,42,0.07572197914123535,"178
"
recursiveMergeSort,59,0.07589292526245117,"274
"
recursiveMergeSort,59,0.0792388916015625,"281
"
recursiveMergeSort,59,0.07479119300842285,"276
"
recursiveMergeSort,59,0.07481813430786133,"279
"
recursiveMergeSort,59,0.08906292915344238,"269
"
recursiveMergeSort,84,0.07257080078125,"419
"
recursiveMergeSort,84,0.071044921875,"423
"
recursiveMergeSort,84,0.07274508476257324,"424
"
recursiveMergeSort,84,0.07671689987182617,"437
"
recursiveMergeSort,84,0.07395696640014648,"442
"
recursiveMergeSort,118,0.07356595993041992,"653
"
recursiveMergeSort,118,0.07417821884155273,"667
"
recursiveMergeSort,118,0.07297730445861816,"670
"
recursiveMergeSort,118,0.0760030746459961,"661
"
recursiveMergeSort,118,0.07889890670776367,"664
"
recursiveMergeSort,167,0.07354497909545898,"1024
"
recursiveMergeSort,167,0.07338809967041016,"1032
"
recursiveMergeSort,167,0.07363629341125488,"1037
"
recursiveMergeSort,167,0.07428193092346191,"1021
"
recursiveMergeSort,167,0.07361626625061035,"1015
"
recursiveMergeSort,235,0.07381677627563477,"1564
"
recursiveMergeSort,235,0.07250404357910156,"1561
"
recursiveMergeSort,235,0.07251620292663574,"1551
"
recursiveMergeSort,235,0.07288289070129395,"1549
"
recursiveMergeSort,235,0.07324099540710449,"1562
"
recursiveMergeSort,332,0.08687615394592285,"2368
"
recursiveMergeSort,332,0.08882594108581543,"2372
"
recursiveMergeSort,332,0.0757761001586914,"2379
"
recursiveMergeSort,332,0.07395195960998535,"2361
"
recursiveMergeSort,332,0.08658409118652344,"2365
"
recursiveMergeSort,468,0.07712626457214355,"3561
"
recursiveMergeSort,468,0.0753629207611084,"3577
"
recursiveMergeSort,468,0.07429194450378418,"3590
"
recursiveMergeSort,468,0.0871889591217041,"3570
"
recursiveMergeSort,468,0.07729911804199219,"3554
"
recursiveMergeSort,660,0.08913993835449219,"5357
"
recursiveMergeSort,660,0.09146785736083984,"5365
"
recursiveMergeSort,660,0.09126615524291992,"5354
"
recursiveMergeSort,660,0.0899958610534668,"5357
"
recursiveMergeSort,660,0.0905308723449707,"5359
"
recursiveMergeSort,931,0.09188508987426758,"7992
"
recursiveMergeSort,931,0.07916116714477539,"8022
"
recursiveMergeSort,931,0.07790493965148926,"7986
"
recursiveMergeSort,931,0.07679390907287598,"8018
"
recursiveMergeSort,931,0.07695221900939941,"7987
"
recursiveMergeSort,1313,0.09038901329040527,"11994
"
recursiveMergeSort,1313,0.09342312812805176,"11996
"
recursiveMergeSort,1313,0.092041015625,"11964
"
recursiveMergeSort,1313,0.08097505569458008,"12001
"
recursiveMergeSort,1313,0.08997082710266113,"12004
"
recursiveMergeSort,1852,0.09363508224487305,"17755
"
recursiveMergeSort,1852,0.0926051139831543,"17790
"
recursiveMergeSort,1852,0.09365487098693848,"17818
"
recursiveMergeSort,1852,0.09337782859802246,"17808
"
