algorithm,n,time,comparisons
recursiveMergeSort,1323719,2.368607997894287,"25274863
"
recursiveMergeSort,1323719,2.329921007156372,"25274716
"
recursiveMergeSort,1323719,2.0303690433502197,"25275245
"
recursiveMergeSort,1813495,3.0315186977386475,"35438889
"
recursiveMergeSort,1813495,2.8731632232666016,"35439683
"
recursiveMergeSort,1813495,2.977450370788574,"35438699
"
recursiveMergeSort,1813495,2.8019137382507324,"35438515
"
recursiveMergeSort,1813495,3.2287299633026123,"35437868
"
recursiveMergeSort,2484488,3.5864975452423096,"49691478
"
recursiveMergeSort,2484488,3.8965885639190674,"49691215
"
recursiveMergeSort,2484488,3.769294023513794,"49691873
"
recursiveMergeSort,2484488,3.585299253463745,"49691896
"
recursiveMergeSort,2484488,3.7430830001831055,"49692278
"
recursiveMergeSort,3403749,5.421248435974121,"69617176
"
recursiveMergeSort,3403749,4.9971818923950195,"69616644
"
recursiveMergeSort,3403749,5.118061542510986,"69617324
"
recursiveMergeSort,3403749,5.232051372528076,"69617288
"
recursiveMergeSort,3403749,13.61366081237793,"69615875
"
recursiveMergeSort,4663136,15.97009825706482,"97480741
"
recursiveMergeSort,4663136,7.794688940048218,"97480340
"
recursiveMergeSort,4663136,6.8622353076934814,"97482441
"
recursiveMergeSort,4663136,6.950855493545532,"97479053
"
recursiveMergeSort,4663136,6.688602924346924,"97480021
"
recursiveMergeSort,6388496,9.758404731750488,"136464805
"
recursiveMergeSort,6388496,10.464268922805786,"136464169
"
recursiveMergeSort,6388496,9.819209814071655,"136464456
"
recursiveMergeSort,6388496,9.179607629776001,"136465356
"
recursiveMergeSort,6388496,9.406418800354004,"136464717
"
recursiveMergeSort,8752240,13.205123662948608,"190841371
"
recursiveMergeSort,8752240,14.186347961425781,"190839143
"
recursiveMergeSort,8752240,13.193176031112671,"190844806
"
recursiveMergeSort,8752240,13.133620023727417,"190840416
"
recursiveMergeSort,8752240,15.04006028175354,"190839195
"
recursiveMergeSort,11990569,28.511286973953247,"267060758
"
recursiveMergeSort,11990569,22.684022903442383,"267060243
"
recursiveMergeSort,11990569,27.683445930480957,"267061526
"
recursiveMergeSort,11990569,28.058896780014038,"267061242
"
recursiveMergeSort,11990569,24.47076416015625,"267061173
"
